iata,icao,name,lat,lon
UTK,03N,Utirik Airport,11.2222,169.8514
OCA,07FA,Ocean Reef Club Airport,25.3254,-80.2748
CSE,0CO2,Crested Butte Airpark,38.8519,-106.9283
CUS,0NM0,Columbus Airport,31.8239,-107.6299
JCY,0TE7,LBJ Ranch Airport,30.2518,-98.6225
WLR,13Z,Loring Seaplane Base,55.6013,-131.6370
NUP,16A,Nunapitchuk Airport,60.9056,-162.4405
PTC,16K,Port Alice Seaplane Base,55.8030,-133.5970
ICY,19AK,Icy Bay Airport,59.9663,-141.6601
PPV,19P,Port Protection Seaplane Base,56.3288,-133.6100
KKK,1KC,Kalakaket Creek AS Airport,64.4166,-156.8204
MHS,1O6,Dunsmuir Muni-Mott Airport,41.2632,-122.2720
NIR,1XA2,Chase Field Industrial Airport,28.3624,-97.6619
GCT,1Z1,Grand Canyon Bar Ten Airstrip,36.2580,-113.2311
ELW,1Z9,Ellamar Seaplane Base,60.8938,-146.7040
LVD,2AK,Lime Village Airport,61.3591,-155.4400
HGZ,2AK6,Hog River Airport,66.1761,-155.6848
OTN,2IG4,Ed-Air Airport,38.8518,-87.4999
TLF,2K5,Telida Airport,63.3939,-153.2690
BZT,2TE0,Eagle Air Park,28.9822,-95.5797
HBH,2Z1,Entrance Island Seaplane Base,57.4122,-133.4385
FAK,2Z6,False Island Seaplane Base,57.5322,-135.2130
BYW,38WA,Blakely Island Airport,48.5792,-122.8238
DRF,3AK5,Drift River Airport,60.5889,-152.1620
BDF,3IS8,Rinkenberger Restricted Landing Area,41.2309,-89.6157
TEH,3T4,Tetlin Airport,63.1246,-142.5180
VRS,3VS,Roy Otten Memorial Airfield,38.4278,-92.8752
GDH,3Z8,Golden Horn Lodge Seaplane Base,59.7470,-158.8750
ATT,4A2,Atmautluak Airport,60.8667,-162.2730
LIV,4AK,Livengood Camp Airport,65.4670,-148.6534
PDB,4K0,Pedro Bay Airport,59.7969,-154.1300
KOZ,4K5,Ouzinkie Airport,57.9421,-152.4643
TNK,4KA,Tununak Airport,60.5696,-165.2466
WHD,4Z7,Hyder Seaplane Base,55.9033,-130.0100
MNT,51Z,Minto Al Wright Airport,65.1480,-149.3687
TKI,57A,Tokeen Seaplane Base,55.9371,-133.3270
WKK,5A8,Aleknagik / New Airport,59.2826,-158.6180
WFB,5KE,Ketchikan Harbor Seaplane Base,55.3499,-131.6770
RFK,5MS1,Rollang Field,32.9535,-90.8451
NNK,5NK,Naknek Airport,58.7356,-157.0222
BKF,5Z9,Lake Brooks Seaplane Base,58.5548,-155.7770
BCS,65LA,Southern Seaplane Airport,29.8661,-90.0216
MMN,6B6,Minute Man Air Field,42.4603,-71.5190
SPQ,6CA3,Catalina Air-Sea Terminal Heliport,33.7492,-118.2750
TSS,6N5,East 34th Street Heliport,40.7424,-73.9721
NYS,6N7,New York Skyports Inc Seaplane Base,40.7351,-73.9728
WYB,78K,Yes Bay Lodge Seaplane Base,55.9163,-131.8010
CWS,78WA,Center Island Airport,48.4900,-122.8316
TEK,7KA,Tatitlek Airport,60.8714,-146.6903
DUF,7NC2,Pine Island Airport,36.2527,-75.7853
SSW,7WA5,Stuart Island Airpark,48.6734,-123.1754
FOB,82CL,Fort Bragg Airport,39.4724,-123.7953
PUL,83Q,Port of Poulsbo Marina Moorage Seaplane Base,47.7340,-122.6470
CCD,84CL,Century City Heliport,34.0610,-118.4173
WMK,84K,Meyers Chuck Seaplane Base,55.7396,-132.2550
AXB,89NY,Maxson Airfield,44.3120,-75.9003
REE,8XS8,Reese Airpark,33.5903,-102.0370
