ident,icao_code,iata_code
03N,,UTK
07FA,,OCA
0CO2,,CSE
0NM0,,CUS
0TE7,,JCY
13Z,,WLR
16A,,NUP
16K,,PTC
19AK,,ICY
19P,,PPV
1KC,,KKK
1O6,,MHS
1XA2,,NIR
1Z1,,GCT
1Z9,,ELW
2AK,,LVD
2AK6,,HGZ
2IG4,,OTN
2K5,,TLF
2TE0,,BZT
2Z1,,HBH
2Z6,,FAK
38WA,,BYW
3AK5,,DRF
3IS8,,BDF
3T4,,TEH
3VS,,VRS
3Z8,,GDH
4A2,,ATT
4AK,,LIV
4K0,,PDB
4K5,,KOZ
4KA,,TNK
4Z7,,WHD
51Z,,MNT
57A,,TKI
5A8,,WKK
5KE,,WFB
5MS1,,RFK
5NK,,NNK
5Z9,,BKF
65LA,,BCS
6B6,,MMN
6CA3,,SPQ
6N5,,TSS
6N7,,NYS
6OK6,,BWL
78K,,WYB
78WA,,CWS
7KA,,TEK
7NC2,,DUF
7WA5,,SSW
82CL,,FOB
83Q,,PUL
84CL,,CCD
84K,,WMK
89NY,,AXB
8XS8,,REE
90WA,,WDN
96Z,,WWP
9A3,,CHU
9A8,,UGS
9CA3,,JID
9N2,,PSQ
9Z8,,KLL
A23,,SGW
A61,,WTL
A63,,TWA
A79,,KCQ
AAD,HCAD,AAD
ABP,,ABP
ACM,,ACM
ADV,,ADV
AE-0001,OEBT,
AE-0237,,DST
AEE,,AEE
AEQ,,AEQ
AF-0019,OATD,
AF-0020,OAAK,
AF-0021,OALG,
AF-0023,OAMK,
AF-0024,OAPJ,
AF-0025,OATW,
AFK,,AFK
AG-0001,TAPB,BBQ
AGAF,AGAF,AFT
AGAR,AGAR,RNA
AGAT,AGAT,ATD
AGBA,AGBA,VEV
AGBT,AGBT,BPF
AGEV,AGEV,GEF
AGG,,AGG
AGGA,AGGA,AKS
AGGB,AGGB,BNY
AGGC,AGGC,CHY
AGGE,AGGE,BAS
AGGF,AGGF,FRE
AGGH,AGGH,HIR
AGGI,AGGI,MBU
AGGJ,AGGJ,AVU
AGGK,AGGK,IRA
AGGL,AGGL,SCZ
AGGM,AGGM,MUA
AGGN,AGGN,GZO
AGGO,AGGO,MNY
AGGP,AGGP,PRS
AGGR,AGGR,RNL
AGGS,AGGS,EGM
AGGT,AGGT,NNB
AGGU,AGGU,RUS
AGGV,AGGV,VAO
AGGY,AGGY,XYA
AGIN,AGIN,
AGK,,AGK
AGKG,AGKG,KGE
AGKU,AGKU,KUE
AGKW,AGKW,KWS
AGLM,AGLM,LLM
AGNA,AGNA,NAZ
AGOB,AGOB,MHM
AGOK,AGOK,GTA
AGRC,AGRC,RIN
AGRM,AGRM,RBV
AGTI,AGTI,TLG
AHY,,AHY
AIP,,AIC
AK13,,CEX
AK26,,SOL
AK33,,HED
AK49,,TWE
AK56,,KTH
AK62,,NKI
AK75,,CDL
AK81,,AOS
AK97,,BSW
AKM,,AKM
ALZ,,ALZ
AM-0001,UDCK,YUK
AME,,AME
AMY,FMMB,AMY
ANYN,ANYN,INU
ANZ,,ANZ
AO-0001,,CTV
AO-0005,,ANL
AO-0067,FNLM,
AO-0074,FNNL,
AO-CNZ,,CNZ
AO-DRC,,DRC
AO-NDF,,NDF
AOB,,AOB
AOD,,AOD
APP,,APP
AQY,,AQY
AR-0005,,QRF
AR-0007,,CVI
AR-0009,,CNT
AR-0010,,VGS
AR-0011,,LMD
AR-0017,,VCF
AR-0390,,CPG
ARP,,ARP
ASZ,,ASZ
AT-0001,LOAL,
AT-0050,LOAE,
AT-0051,LOAF,
AT-0052,LOAH,
AT-0053,LOAK,
AT-0087,LOAM,
AT98,,WFR
AU-0081,YLTT,LYT
AU-0177,YMQI,
AU-0264,YSKR,
AU-0456,,GYZ
AU-0490,YPAS,
AU-0565,YMRO,
AU-0627,YCRN,
AU-0748,YOKH,
AU-0771,YWIR,
AU-0783,YJBO,
AU-0785,YWSN,
AU-0796,YNKR,
AU-AGW,,AGW
AU-AYD,,AYD
AU-BYX,,BYX
AU-COB,,COB
AU-CRJ,,CRJ
AU-CRY,,CRY
AU-CSD,,CSD
AU-DYM,,DYM
AU-HIS,,HIS
AU-HLV,,HLV
AU-KBD,,KBD
AU-KGR,,KGR
AU-PEP,,PEP
AU-RDA,,RDA
AU-SSK,,SSK
AU-SWB,,SWB
AU-TWP,,TWP
AU-ZVG,,ZVG
AWR,,AWR
AXF,ZBAL,AXF
AXO,,AXO
AYAA,AYAA,AMF
AYAE,AYAE,UAE
AYAF,AYAF,AFR
AYAG,AYAG,AUP
AYAI,AYAI,ATP
AYAK,AYAK,AIH
AYAM,AYAM,AMU
AYAN,AYAN,ADC
AYAO,AYAO,AIE
AYAQ,AYAQ,KPM
AYAT,AYAT,AUJ
AYAU,AYAU,
AYAW,AYAW,AWB
AYAX,AYAX,AEK
