airport_ident,length_ft,width_ft,surface,closed,le_ident,le_heading_degT,le_latitude_deg,le_longitude_deg,he_ident,he_heading_degT,he_latitude_deg,he_longitude_deg
00A,80,80,ASPH-G,0,H1,,,,,,,
00AK,2500,40,GRVL,0,N,,,,S,,,
00AL,2100,90,TURF,0,01,,,,19,,,
00AN,4517,60,GVL,0,3,,,,21,,,
00AS,1450,60,Turf,0,1,,,,19,,,
00AZ,1700,60,GRAVEL,0,15,,,,33,,,
00CA,6000,80,ASPH,0,04,50,35.3493,-116.893,22,,35.3603,-116.878
00FA,3200,100,TURF,0,08,,,,26,,,
00FL,4700,60,TURF,0,12,,,,30,,,
00GA,2600,80,TURF,0,09,,,,27,,,
00GE,125,95,ASPH,0,H1,,,,,,,
00HI,1155,45,ASPH-G,0,H1,,,,,,,
00ID,3500,40,TURF,0,08,,,,26,,,
00ID,2900,40,TURF,0,11,,,,29,,,
00IL,2500,75,TURF-F,0,18,,,,36,,,
00IN,40,40,MATS,0,H1,,,,,,,
00IS,1600,70,TURF,0,E,,,,W,,,
00KS,2600,85,TURF,0,17,,,,35,,,
00KY,2100,100,TURF,0,01,,,,19,,,
00LA,40,40,TURF,0,H1,,,,,,,
00LL,25,25,CONC,0,H1,,,,,,,
00LS,2600,100,TURF,0,18,,,,36,,,
00MD,1700,75,TURF,0,14,,,,32,,,
00MI,100,100,TURF,0,H1,,,,,,,
00MN,2949,200,TURF-G,0,06,,,,24,,,
00MO,2400,25,TURF,0,08,,,,26,,,
00N,2420,150,TURF-G,0,18,,,,36,,,
00NC,2650,36,ASPH-G,0,05,,,,23,,,
00NJ,50,50,ASPH,0,H1,,,,,,,
00NR,50,50,CON,0,H1,,,,,,,
00NY,2350,80,TURF,0,03,,,,21,,,
00OI,42,42,CONC,0,H1,,,,,,,
00OK,2200,60,Turf/Dirt,0,17,,,,35,,,
00PA,80,80,TURF-G,0,H1,,,,,,,
00PN,500,75,TURF,0,12,,,,30,,,
00S,2600,90,TURF-P,0,06,,,,24,,,
00SC,2900,100,TURF,0,08,,,,26,,,
00SD,2400,50,Turf,0,18,,,,36,,,
00TE,48,48,TURF,0,H1,,,,,,,
00TS,1200,45,TURF,0,01,,,,19,,,
00TT,2429,80,Turf/Dirt,0,18,,,,36,,,
00VA,1300,100,TURF,0,01,,,,19,270,,
00VI,1500,50,TURF,0,09,,,,27,,,
00W,3400,50,GRAVEL-F,0,14,,,,32,,,
00WA,1600,75,TURF-G,0,08,,,,26,,,
00WI,1000,60,TURF,0,09,87.2,44.3042,-89.052,27,,44.3044,-89.0482
00WN,1440,50,TURF-G,0,05,,,,23,,,
00WV,1800,100,TURF,0,05,,,,23,,,
01A,1176,50,GRAVEL-F,0,5,70,62.94021,-152.27293,23,250,62.9413,-152.26629
01AK,40,40,CONC,0,H1,,,,,,,
01AL,2400,60,TURF,0,N,,,,S,,,
01AR,55,55,CONC,0,H1,,,,,,,
01AZ,210,150,TURF,0,H1,,,,,,,
01CA,20,20,ASPH,0,H1,,,,,,,
01CL,3100,50,ASPH-TRTD,0,09,,,,27,,,
01CO,125,40,ASPH,0,H1,,,,,,,
01CT,70,70,TURF-GRVL,0,H1,,,,,,,
01FA,2000,100,TURF,0,10,,,,28,,,
01FA,1500,100,TURF,0,18,,,,36,,,
01FD,110,110,CONC,0,H1,,,,,,,
01FL,3000,75,TURF,0,18,,,,36,,,
01GA,65,65,CONC,0,H1,,,,,,,
01GE,2560,50,TURF,0,10,,,,28,,,
01ID,3400,100,TURF-F,0,14,,42.611,-112.035,32,,42.6037,-112.031
01IL,416,216,TURF,0,H1,,,,,,,
01IN,45,45,ASPH,0,H1,,,,,,,
01IS,1300,100,TURF,0,09,,,,27,,,
01J,3600,125,TURF-P,0,18,,30.6909,-81.9064,36,,30.6817,-81.905
01K,2460,110,TURF-G,0,17,,,,35,,,
01KS,2400,100,TURF,0,18,,,,36,,,
01KY,40,40,CONC,0,H1,,,,,,,
01LA,2000,60,TURF,0,09,,,,27,,,
01LL,1600,70,TURF,0,02,,,,20,,,
01LS,1800,150,TURF,0,09,92.2,30.7227,-91.0802,27,,30.7225,-91.0745
01MA,32,32,TURF,0,H1,,,,,,,
01MD,3500,100,WATER,0,16,,,,34,,,
01ME,5000,500,WATER,0,02,,,,20,,,
01ME,5000,500,WATER,0,15,,,,33,,,
01MI,50,50,CONC,0,H1,,,,,,,
01MN,10000,600,WATER,0,E,,,,W,,,
01MN,10000,600,WATER,0,NW,,,,SE,,,
01MO,37,37,CONC,0,H1,,,,,,,
01MT,5000,70,ASPH-G,0,13,148,48.795,-114.886,31,,48.7833,-114.875
01MU,54,54,CON,0,H1,,,,,,,
01NC,3200,75,TURF,0,03,,,,21,,,
01NC,2000,75,ASPH-TURF,0,18,,,,36,,,
01NH,600,100,TURF,0,17,,,,35,,,
01NJ,125,80,ASPH,0,H1,,,,,,,
01NM,2700,70,DIRT,0,02,,,,20,,,
01NM,2000,70,DIRT,0,9,,,,27,,,
01NR,50,50,Turf,0,H1,,,,,,,
01NV,2000,60,GRVL,0,18,,,,36,,,
01NY,100,75,ASPH,0,H1,,,,,,,
01OH,100,100,CON,0,H1,,,,,,,
01OI,30,30,CONC-G,0,H1,,,,,,,
01OL,1600,75,Turf,0,5,50,34.36072,-96.73647,23,230,34.39305,-96.68889
01PN,1700,100,TURF,0,06,,,,24,,,
01PS,1200,120,TURF-G,0,03,,,,21,,,
01SC,2580,118,TURF-F,0,18,,,,36,,,
01TA,30,30,CONC,0,H1,,,,,,,
01TE,2433,55,TURF-F,0,04,,,,22,,,
01TN,2700,100,TURF,0,18,,,,36,,,
01U,2700,75,DIRT-P,0,03,,,,21,,,
01U,3400,80,DIRT-P,0,15,,,,33,,,
01UT,3200,40,DIRT-P,0,E,,,,W,,,
01VA,1500,60,TURF,0,03,,,,21,,,
01WA,36,36,CONC,0,H1,,,,,,,
01WI,2300,120,TURF,0,01,9.6,44.0056,-90.3905,19,,44.0118,-90.3892
01WN,40,40,ASPH,0,H1,,,,,,,
01WT,28,28,CONC-G,0,H1,,,,,,,
01WY,4360,75,DIRT-TURF-G,0,12,,,,30,,,
01WY,2600,65,DIRT-TURF-G,0,16,,,,34,,,
01XA,50,50,CONC,0,H1,,,,H1,,,
01XS,50,50,CONC,0,H1,,,,,,,
02AK,2200,45,GRVL,0,15,,,,33,,,
02AL,2000,150,TURF,0,18,,,,36,,,
02AN,1800,100,Turf,0,2,,,,20,,,
02CA,55,55,PSP,0,H1,,,,,,,
02CD,2500,100,CONC-TURF,0,15,,,,33,,,
02CL,3000,60,DIRT,0,16,,,,34,,,
02CO,2670,50,GRAVEL,0,17,,,,35,,,
02CT,50,50,ASPH,0,H1,,,,,,,
02FA,3585,150,TURF,0,18,,,,36,,,
02FD,3443,150,Turf,0,1,,30.9476,-86.636,19,,30.9571,-86.6349
02GA,1200,100,TURF,0,08,,,,26,,,
02GA,1500,100,TURF,0,13,,,,31,,,
02GE,3400,100,TURF,0,09,,,,27,,,
02HI,100,100,CONC,0,H1,,,,,,,
02IA,50,50,CONC,0,H1,,,,,,,
02ID,2000,100,TURF,0,NE,,,,SW,,,
02II,1100,100,TURF,0,10,,,,28,,,
02IN,1020,150,TURF,0,09,,,,27,,,
02IS,40,40,MATS,0,H1,,,,,,,
02KS,1650,100,TURF,0,11,,,,29,,,
02KS,1950,150,TURF,0,18,,,,36,,,
02KY,100,100,CONC,0,H1,,,,,,,
02LA,20,20,CONC,0,H1,,,,,,,
02LS,24,24,CONC,0,H1,,,,,,,
02MA,50,50,ASPH,0,H1,,,,,,,
02MD,2000,75,Turf,0,9,,,,27,,,
02ME,2400,60,TURF,0,14,,,,32,,,
02MI,2000,100,TURF,0,09,,,,27,,,
02MO,2100,25,TURF-G,0,08,,,,26,,,
02MS,2150,60,TURF-F,0,12,,,,30,,,
02NH,3000,300,WATER,0,18W,,,,36W,,,
02NH,20,20,TURF,0,H1,,,,,,,
02NJ,,-1,,0,,,,,,,,
02NM,4247,30,Dirt,0,8,,,,26,,,
02NR,50,50,Turf,0,H1,,,,,,,
02NV,2200,50,TURF,0,09,,,,27,,,
02NY,25,25,TURF,0,H1,,,,,,,
02OH,2750,50,TURF,0,09,,,,27,,,
02OI,1500,75,TURF,0,E,,,,W,,,
02OR,2000,30,TURF,0,E,,,,W,,,
02P,100,100,TURF-G,0,H1,,,,,,,
02PA,60,50,TURF-GRVL,0,H1,,,,,,,
02PN,40,40,ASPH,0,H1,,,,,,,
02PR,2000,50,TURF,0,06,,,,24,,,
02RI,100,100,Turf,0,H1,,,,,,,
02SC,3600,150,TURF-G,0,04,,,,22,,,
02T,4050,60,DIRT-G,0,02,,,,20,,,
02TA,32,32,CONC,0,H1,,,,,,,
02TE,40,40,CONC,0,H1,,,,,,,
02TN,1600,120,TURF,0,11,,,,29,,,
02UT,4000,50,DIRT,0,07,,,,25,,,
02UT,4000,50,DIRT-P,0,16,,,,34,,,
02VA,3000,80,TURF,0,18,,,,36,,,
02WA,2650,50,TURF,0,16,,,,34,,,
02WI,2200,60,TURF,0,18,,,,36,,,
02WN,1500,30,DIRT,0,13,,,,31,,,
02XA,1950,50,Turf,0,18,,,,36,,,
03AK,1000,70,DIRT,0,07,,,,25,,,
03AK,6000,500,WATER,0,N,,,,S,,,
03AK,2600,500,WATER,0,NE,,,,SW,,,
03AL,50,50,CONC,0,H1,,,,,,,
03AR,117,117,CONC,0,H1,,,,,,,
03AZ,3600,60,DIRT,0,E,,,,W,,,
03CA,40,40,CONC,0,H1,,,,,,,
03FA,2000,200,TURF,0,E,,,,W,,,
03FL,50,40,CONC,0,H1,,,,,,,
03GA,1990,65,Turf,0,10,,,,28,,,
03GA,1955,60,Turf,0,11,,,,29,,,
03ID,1800,100,TURF,0,11,,,,29,,,
03II,1000,200,TURF,0,N,,,,S,,,
03IL,2600,105,TURF,0,18,,,,36,,,
03IS,40,40,CONC,0,H1,,,,,,,
03KS,25,25,GRAVEL,0,H1,,,,,,,
03KY,2300,80,TURF,0,03,,,,21,,,
03LA,60,60,TURF,0,H1,,,,,,,
03LS,40,40,CONC,0,H1,,,,,,,
03M,3800,200,WATER,0,02,,,,20,,,
03MA,1600,60,TURF,0,12,,,,30,,,
03MD,50,50,CONC,0,H1,,,,,,,
03ME,2400,90,TURF,0,18,,,,36,,,
03MI,20,20,TURF,0,H1,,,,,,,
03MN,1940,75,TURF,0,17,,,,35,,,
03MS,60,60,CONC,0,H1,,,,,,,
03MU,2400,24,ASPH,0,17,,,,35,,,
03N,2400,50,DIRT,0,7,,,,25,,,
03NC,3000,40,ASPH-G,0,09,,,,27,,,
03ND,2600,50,TURF,0,17,,,,35,,,
03NE,2200,200,TURF,0,01,,,,19,,,
03NH,12,80,ASPH,0,H1,,,,,,,
03NV,3200,30,TURF-P,0,18,,,,36,,,
03NY,2000,75,TURF,0,16,,,,34,,,
03OH,2100,60,TURF,0,N,,,,S,,,
03OH,2200,60,TURF,0,NE,,,,SW,,,
03OI,60,60,CONC,0,H1,,,,,,,
03OK,1200,50,TURF,0,18,,,,36,,,
03OL,1900,30,Turf,0,18,,,,36,,,
03OR,2950,60,CONC,0,07,,,,25,,,
03PA,130,80,ASPH,0,H1,,,,,,,
03PN,100,100,TURF,0,H1,,,,,,,
03PR,2926,65,Turf,0,9,,,,27,,,
03S,2115,100,TURF-G,0,08,,,,26,,,
03SC,40,40,CONC,0,H1,,,,,,,
03TE,3500,100,TURF,0,12,,,,30,,,
03TN,20,20,TURF,0,H1,,,,,,,
03TS,90,90,ASPH,0,H1,,,,,,,
03TT,3000,50,Turf,0,18,,,,36,,,
03TX,150,150,TURF,0,H1,,,,,,,
03UT,5000,35,GRAVEL,0,NE,,,,SW,,,
03UT,3250,35,GRAVEL,0,NW,,,,SE,,,
03WA,2800,60,GRAVEL,0,18,,,,36,,,
03WN,2200,60,GRVL,0,07,,,,25,,,
03WY,2065,100,Turf/Dirt,0,17,,,,35,,,
03XA,54,54,CON,0,H1,,,,,,,
03XS,3200,50,TURF-DIRT,0,04,,,,22,,,
03XS,1600,50,TURF,0,15,,,,33,,,
04AA,1300,100,Turf,0,16,,,,34,,,
04AA,825,68,Turf,0,5,,,,23,,,
04AL,100,100,ASPH,0,H1,,,,,,,
04AR,40,40,ASPH,0,H1,,,,,,,
04CA,8000,150,ASP,0,8,90,34.5666,-117.683,26,270,34.5667,-117.6575
04CL,1900,100,GRVL-DIRT,0,08,,33.08191,-116.44338,26,,33.08129,-116.4371
04CT,50,100,TURF,0,H1,,,,,,,
04FA,2620,212,TURF,0,09,,,,27,,,
04FL,3000,100,TURF,0,09,,,,27,,,
04GA,39,39,CON,0,H1,,,,,,,
04I,2382,120,TURF-G,0,06,,39.9092,-83.1928,24,,39.9131,-83.1847
04IA,2310,84,TURF-G,0,18,,,,36,,,
04ID,3000,25,DIRT-F,0,07,,,,25,,,
04IL,1700,70,TURF,0,N,,,,S,,,
04IN,4000,1000,WATER,0,13W,,,,31W,,,
04IS,2200,150,TURF,0,09,,,,27,,,
04KY,1700,30,ASPH,0,15,,,,33,,,
04LA,40,40,CONC,0,H1,,,,,,,
04LS,60,60,CONC-G,0,H1,,,,,,,
04MA,2100,300,TURF,0,16,,,,34,,,
04MD,50,50,ASPH,0,H1,,,,,,,
04ME,1950,120,TURF,0,15,,,,33,,,
04MI,2000,100,TURF-G,0,18,,,,36,,,
04MN,2500,150,TURF,0,10,,,,28,,,
04MS,3400,100,ASPH-TURF,0,17,180,32.9442,-90.8373,35,,32.9349,-90.8373
04MT,2100,100,TURF,0,E,,,,W,,,
04MT,1900,100,TURF,0,N,,,,S,,,
04NC,91,35,ASPH,0,H1,,,,,,,
04NE,2500,100,TURF,0,N,,,,S,,,
04NJ,3500,50,TURF,0,08,,,,26,,,
04NR,78,36,CON,0,H1,,,,,,,
04NV,3240,45,ASPH,0,02,33.5,35.7518,-115.668,20,,35.7592,-115.662
04NY,5200,50,TURF,0,02,,,,20,,,
04OG,50,100,CONC,0,H1,,,,,,,
04OK,45,45,CONC,0,H1,,,,,,,
04PA,100,100,CONC,0,H1,,,,,,,
04PN,70,70,CONC,0,H1,,,,,,,
04SC,50,50,CONC,0,H1,,,,,,,
04SD,46,46,CON,0,H1,,,,H1,,,
04TE,30,30,TURF,0,H1,,,,,,,
04TN,3000,40,ASPH,0,01,,,,19,,,
04TS,20,20,TURF,0,H1,,,,,,,
04TT,5134,55,ASP,0,18,,29.71954,-99.54539,36,,29.70669,-99.54586
04TX,2000,75,TURF,0,12,,,,30,,,
04UT,3700,50,DIRT,0,04,,,,22,,,
04V,7745,55,GRVL-G,0,10,118,38.1041,-106.186,28,298,38.0941,-106.163
04VA,50,50,CONC,0,H1,,,,,,,
04VG,3500,80,TURF-F,0,01,,,,19,,,
04VG,1800,70,TURF-F,0,11,,,,29,,,
04VT,1300,40,TURF,0,06,,,,24,,,
04W,2751,75,ASPH-G,0,06,66,46.0213,-92.9001,24,246,46.0244,-92.8902
04WA,1800,60,TURF,0,N,,,,S,,,
04WI,1800,100,TURF,0,09,,,,27,,,
04WN,4100,60,ASPH,0,11,,,,29,336.5,,
04WV,40,40,CONC,0,H1,,,,,,,
05AK,2000,100,TURF-GRVL,0,01,,,,19,,,
05AL,1600,50,ASPH,0,H1,,,,,,,
05AL,1600,50,ASPH,0,H2,,,,,,,
05AL,1600,50,ASPH,0,H3,,,,,,,
05AL,1600,50,ASPH,0,H4,,,,,,,
05AL,1600,50,ASPH,0,H5,,,,,,,
05AL,1600,50,ASPH,0,H6,,,,,,,
05AN,1250,100,GVL,0,5,,,,23,,,
05AR,2000,100,TURF,0,06,,,,24,263,,
05AZ,40,40,CONC,0,H1,,,,,,,
05B,4000,200,WATER,0,NW,,,,SE,,,
05CA,78,78,CONC-G,0,H1,,,,,,,
05CL,3700,60,ASPH-G,0,10,116,38.6131,-122.397,28,,38.6086,-122.386
05CO,2650,60,TURF,0,18,,,,36,,,
05CT,50,50,ASPH,0,H1,,,,,,,
05FA,2950,100,TURF,0,08,,,,26,,,
05FD,95,95,TURF,0,H1,,,,,,,
